Title	recipe link	recipe attachment	category	ease	rate	tried yet?	number of servings
Chorizo Bolognese	http://www.delish.com/cooking/recipe-ideas/recipes/a49107/chorizo-bolognese-pasta-recipe/		main course			FALSE	
Pesto Chicken Spaghetti	http://www.delish.com/cooking/recipe-ideas/recipes/a48379/creamy-pesto-spaghetti-recipe/		main course	Intermediate	3	TRUE	8
Turkey Meatball Pie	http://www.delish.com/cooking/recipe-ideas/recipes/a49104/turkey-meatball-pie-recipe/		main course	Time Consuming	4	TRUE	5
Strawberry Cheesecake poundcake	https://www.buzzfeed.com/joeyfiroben/this-cake-proves-that-strawberries-have-never-looked-so-good?bffbtasty&ref=bffbtasty&utm_term=.hvPQWjQ0A.ky6q0rqAN		dessert			FALSE	10
Pecan Pie Muffins			dessert	Easy	5	TRUE	
Salisbury Steak - Crockpot	http://www.spendwithpennies.com/slow-cooker-salisbury-steak/		main course	Intermediate	4	TRUE	6
Sesame Beef Kabobs		sesame beef kaboba.pdf	main course	Easy	5	TRUE	
Balsamic Glazed Chicken	http://www.delish.com/cooking/recipe-ideas/recipes/a49138/balsamic-glazed-chicken/		main course	Easy		FALSE	4
Broccoli Salad			side dish	Easy	4	TRUE	
Charro Beans		Charro Beans.doc	side dish	Intermediate	5	TRUE	10
Almond Joy Cookies	http://getinmybelly.com/almond-joy-cookies/		dessert	Easy	4	TRUE	
Sausage Cornbread Casserole	https://www.hiddenvalley.com/recipe/corny-ranch-casserole/		main course	Easy	4	TRUE	12
Zesty Grilled Brats with Asparagus and lemon orzo	https://www.hiddenvalley.com/recipe/zesty-grilled-asparagus-and-lemon-orzo/		main course	Easy	4	TRUE	5
Honey Almond Asparagus	http://allrecipes.com/recipe/244400/honey-almond-asparagus-with-feta-cheese-course/		side dish	Easy	4	TRUE	6
Praline Grahams			dessert	Easy	5	TRUE	
Pot Roast with Lipton Onion Soup	http://allrecipes.com/recipe/16066/awesome-slow-cooker-pot-roast/		main course	Easy		FALSE	12
Kung Pao Chicken Spaghetti	http://www.delish.com/cooking/recipe-ideas/recipes/a51063/kung-pao-spaghetti-recipe/		main course	Easy	4	TRUE	8
Glazed Lemon Salmon	http://www.delish.com/cooking/recipe-ideas/recipes/a50886/glazed-lemon-salmon-recipe/		main course	Easy	3	TRUE	4
Parmesan lemon chicken and rice	https://www.pillsbury.com/recipes/parmesan-lemon-chicken-bake/f27858b6-5211-4c94-acff-18d0c70c7b72		main course	Easy	5	TRUE	6
Crescent egg and sausage breakfast	https://www.pillsbury.com/recipes/sausage-egg-and-cheese-breakfast-roll-ups/e6d99aed-541a-4472-bd0a-27281ef52744		breakfast	Easy	4	TRUE	4
Honey Garlic Chicken	http://www.delish.com/cooking/recipe-ideas/recipes/a49507/honey-garlic-chicken-recipe/		main course	Intermediate	4	TRUE	6
Ginger Veggie Stir Fry	http://allrecipes.com/recipe/24712/ginger-veggie-stir-fry/		side dish	Intermediate	4	TRUE	6
Slow Cooker Pork Chops	http://allrecipes.com/recipe/25150/pork-chops-for-the-slow-cooker/?internalSource=staff%20pick&referringId=1202&referringContentType=recipe%20hub		main course	Easy	4	TRUE	6
Cold Peanut Noodles with chicken	https://www.hiddenvalley.com/recipe/cold-peanut-noodles-with-chicken/		main course	Intermediate	4	TRUE	8
Chicken Parm Mini Meatloaf	http://www.foodnetwork.com/recipes/sunny-anderson/sunnys-chicken-parm-mini-meatloaf		main course	Intermediate	4	TRUE	6
Peanut Butter Brownie Trifle			dessert	Time Consuming		TRUE	20
